Origin,avg_CarrierDelay,avg_WeatherDelay,avg_NASDelay,avg_SecurityDelay,avg_LateAircraftDelay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,delay_rate,dominant_cause,flights
ALB,1.455550098231827,0.30844793713163066,1.8651768172888015,0.0,1.9199410609037328,5927.0,1256.0,7595.0,0.0,7818.0,0.4214145383104126,LateAircraftDelay,4072
ALO,2.2435897435897436,0.7307692307692307,4.102564102564102,0.0,0.6794871794871795,175.0,57.0,320.0,0.0,53.0,0.358974358974359,NASDelay,78
AMA,1.0737746336533602,0.1258211217786761,0.7933299646286003,0.0,2.8989388580090956,2125.0,249.0,1570.0,0.0,5737.0,0.3724103082364831,LateAircraftDelay,1979
ANC,1.7445230872935624,0.06268958543983821,0.6830131445904954,0.003707448601280755,1.2360970677451972,10352.0,372.0,4053.0,22.0,7335.0,0.45129760701044824,CarrierDelay,5934
ANI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,CarrierDelay,3
APF,0.43243243243243246,0.0,5.27027027027027,0.7567567567567568,0.5945945945945946,16.0,0.0,195.0,28.0,22.0,0.4594594594594595,NASDelay,37
APN,6.975609756097561,0.34146341463414637,0.1951219512195122,0.0,4.390243902439025,286.0,14.0,8.0,0.0,180.0,0.24390243902439024,CarrierDelay,41
ART,9.583333333333334,0.3333333333333333,0.0,0.0,4.583333333333333,115.0,4.0,0.0,0.0,55.0,0.25,CarrierDelay,12
ASE,4.970588235294118,1.4179566563467492,3.7863777089783284,0.021671826625386997,7.188854489164087,3211.0,916.0,2446.0,14.0,4644.0,0.38235294117647056,LateAircraftDelay,646
ATL,2.567620365091086,0.563432940450709,1.7751595988297644,0.0019908960901791808,2.4440165627599617,274702.0,60280.0,189919.0,213.0,261478.0,0.4710852720423977,CarrierDelay,106987
ATW,5.988183161004431,1.5096011816838995,3.293943870014771,0.0,4.456425406203841,4054.0,1022.0,2230.0,0.0,3017.0,0.3249630723781389,CarrierDelay,677
ATY,3.2857142857142856,0.0,0.2857142857142857,0.0,0.0,23.0,0.0,2.0,0.0,0.0,0.42857142857142855,CarrierDelay,7
AUS,1.4151486788105696,0.24019007847937215,1.4595723234214126,0.005687954496364029,2.2861977104183167,19655.0,3336.0,20272.0,79.0,31753.0,0.39542083663330696,LateAircraftDelay,13889
AVL,1.8892561983471075,0.5272727272727272,3.8206611570247935,0.013223140495867768,4.167768595041323,2286.0,638.0,4623.0,16.0,5043.0,0.4305785123966942,LateAircraftDelay,1210
AVP,0.48563218390804597,0.7974137931034483,3.1235632183908044,0.0,1.8175287356321839,338.0,555.0,2174.0,0.0,1265.0,0.4281609195402299,NASDelay,696
AZA,2.278688524590164,0.28688524590163933,3.901639344262295,0.0,2.7868852459016393,278.0,35.0,476.0,0.0,340.0,0.38524590163934425,NASDelay,122
AZO,0.5682574916759157,0.3662597114317425,2.881243063263041,0.0,1.6037735849056605,512.0,330.0,2596.0,0.0,1445.0,0.36847946725860153,NASDelay,901
BDL,1.124416964963662,0.20848248183100118,1.825686083089272,0.018223234624145785,1.7158043171710597,10366.0,1922.0,16831.0,168.0,15818.0,0.4104566655819503,NASDelay,9219
BET,1.32404181184669,0.4181184668989547,0.41114982578397213,0.3588850174216028,4.689895470383275,380.0,120.0,118.0,103.0,1346.0,0.4634146341463415,LateAircraftDelay,287
BFF,0.0,7.642857142857143,4.5,0.0,10.428571428571429,0.0,107.0,63.0,0.0,146.0,0.2857142857142857,LateAircraftDelay,14
BFL,2.6218487394957983,0.037815126050420166,2.219887955182073,0.0,3.816526610644258,1872.0,27.0,1585.0,0.0,2725.0,0.32072829131652664,LateAircraftDelay,714
BFM,0.0,0.0,5.333333333333333,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.3333333333333333,NASDelay,3
BGM,1.2857142857142858,0.018633540372670808,1.720496894409938,0.0,0.4409937888198758,414.0,6.0,554.0,0.0,142.0,0.37888198757763975,NASDelay,322
BGR,4.011527377521614,0.6210374639769453,2.6599423631123917,0.0,2.8688760806916425,2784.0,431.0,1846.0,0.0,1991.0,0.38472622478386165,CarrierDelay,694
BHM,1.5482028888142425,0.2314410480349345,1.7739334900906953,0.001007725898555593,2.4287873698354048,9218.0,1378.0,10562.0,6.0,14461.0,0.42290896876049716,LateAircraftDelay,5954
BIL,1.540983606557377,0.05663189269746647,0.812220566318927,0.0,1.399403874813711,2068.0,76.0,1090.0,0.0,1878.0,0.3524590163934426,CarrierDelay,1342
BIS,2.8579610538373426,0.09851088201603665,1.711340206185567,0.0,1.5383734249713632,2495.0,86.0,1494.0,0.0,1343.0,0.3344788087056128,CarrierDelay,873
BJI,0.5818181818181818,1.981818181818182,2.0,0.0,3.981818181818182,32.0,109.0,110.0,0.0,219.0,0.2909090909090909,LateAircraftDelay,55
BKG,0.5694444444444444,2.4027777777777777,1.8888888888888888,0.0,4.319444444444445,41.0,173.0,136.0,0.0,311.0,0.4166666666666667,LateAircraftDelay,72
BLI,1.022857142857143,0.21142857142857144,0.5942857142857143,0.0,1.8514285714285714,179.0,37.0,104.0,0.0,324.0,0.34285714285714286,LateAircraftDelay,175
BLV,1.8846153846153846,2.8846153846153846,1.1923076923076923,2.8846153846153846,1.5769230769230769,49.0,75.0,31.0,75.0,41.0,0.46153846153846156,WeatherDelay,26
BMI,3.147727272727273,0.5048701298701299,3.2045454545454546,0.0,4.314935064935065,1939.0,311.0,1974.0,0.0,2658.0,0.3912337662337662,LateAircraftDelay,616
BNA,1.3146683879296435,0.18449787531601314,1.5241783658759616,0.002259157656930773,2.7239524501102683,24441.0,3430.0,28336.0,42.0,50641.0,0.41659942983163895,LateAircraftDelay,18591
BOI,1.3370951913640825,0.08856722276741903,1.612855740922473,0.0036800785083415115,2.72693817468106,5450.0,361.0,6574.0,15.0,11115.0,0.3680078508341511,LateAircraftDelay,4076
BOS,1.8309897911449877,0.3469084505104427,2.5585977270851106,0.01994991882446823,2.5988277702870035,66540.0,12607.0,92982.0,725.0,94444.0,0.43865055997358354,LateAircraftDelay,36341
BPT,6.3355704697986575,0.37583892617449666,1.8791946308724832,0.0,7.973154362416107,944.0,56.0,280.0,0.0,1188.0,0.3691275167785235,LateAircraftDelay,149
BQK,1.1650485436893203,1.912621359223301,4.325242718446602,0.0,3.1019417475728157,240.0,394.0,891.0,0.0,639.0,0.34951456310679613,NASDelay,206
BQN,3.4555555555555557,0.1111111111111111,1.4962962962962962,0.0,9.448148148148148,933.0,30.0,404.0,0.0,2551.0,0.4074074074074074,LateAircraftDelay,270
BRD,3.9344262295081966,0.3770491803278688,1.3442622950819672,0.0,21.672131147540984,240.0,23.0,82.0,0.0,1322.0,0.3114754098360656,LateAircraftDelay,61
BRO,4.189903846153846,0.3557692307692308,2.0865384615384617,0.0,4.146634615384615,1743.0,148.0,868.0,0.0,1725.0,0.3317307692307692,CarrierDelay,416
BRW,0.25,0.5849056603773585,0.39622641509433965,0.44339622641509435,4.7924528301886795,53.0,124.0,84.0,94.0,1016.0,0.4481132075471698,LateAircraftDelay,212
BTM,0.1925133689839572,0.48663101604278075,0.17647058823529413,0.0,1.2727272727272727,36.0,91.0,33.0,0.0,238.0,0.2887700534759358,LateAircraftDelay,187
BTR,2.8344912137310994,0.553330608908868,2.0318757662443807,0.0,2.6240294237842257,6936.0,1354.0,4972.0,0.0,6421.0,0.44176542705353494,CarrierDelay,2447
BTV,2.781231320980275,0.6557083084279737,4.290496114763897,0.00657501494321578,3.397489539748954,4653.0,1097.0,7178.0,11.0,5684.0,0.4219964136282128,NASDelay,1673
BUF,1.2891501148493447,0.28239427104445347,2.429671665991082,0.0037832725307390892,2.3446831509255506,9541.0,2090.0,17982.0,28.0,17353.0,0.42048371841643023,NASDelay,7401
BUR,0.899932157394844,0.09961555857078246,1.1292401628222524,0.004975124378109453,2.47037539574853,7959.0,881.0,9987.0,44.0,21848.0,0.39676616915422885,LateAircraftDelay,8844
BWI,1.9301675000874217,0.2619155855509319,1.639682484176662,0.018918068328845683,2.809980067839284,55197.0,7490.0,46890.0,541.0,80357.0,0.4311291394202189,LateAircraftDelay,28597
BZN,1.316078431372549,0.07294117647058823,1.247843137254902,0.011764705882352941,2.0509803921568626,1678.0,93.0,1591.0,15.0,2615.0,0.36705882352941177,LateAircraftDelay,1275
CAE,3.059508947149397,0.3503953391593841,1.7037037037037037,0.0,3.2421972534332086,7352.0,842.0,4094.0,0.0,7791.0,0.455264253017062,LateAircraftDelay,2403
CAK,3.177269919703521,1.9549104385423102,3.767140210006177,0.0,3.936998147004324,5144.0,3165.0,6099.0,0.0,6374.0,0.3823347745521927,LateAircraftDelay,1619
CCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30612244897959184,CarrierDelay,49
CDC,2.2586206896551726,0.0,0.5775862068965517,0.0,2.6120689655172415,262.0,0.0,67.0,0.0,303.0,0.23275862068965517,LateAircraftDelay,116
CDV,0.71900826446281,0.0,0.30991735537190085,0.045454545454545456,3.7768595041322315,174.0,0.0,75.0,11.0,914.0,0.4132231404958678,LateAircraftDelay,242
CEC,0.0,0.3173076923076923,11.192307692307692,0.0,10.038461538461538,0.0,33.0,1164.0,0.0,1044.0,0.41346153846153844,NASDelay,104
CGI,0.0,0.0,2.0833333333333335,0.0,38.333333333333336,0.0,0.0,25.0,0.0,460.0,0.3333333333333333,LateAircraftDelay,12
CHA,2.3872966692486446,0.8776142525174283,2.6072811773818745,0.000774593338497289,3.0364058869093724,3082.0,1133.0,3366.0,1.0,3920.0,0.40975987606506586,LateAircraftDelay,1291
CHO,4.578093306288032,0.24949290060851928,3.342799188640974,0.0,5.113590263691684,2257.0,123.0,1648.0,0.0,2521.0,0.385395537525355,LateAircraftDelay,493
CHS,1.577017716535433,0.2876476377952756,2.736466535433071,0.0,2.465551181102362,6409.0,1169.0,11121.0,0.0,10020.0,0.4077263779527559,NASDelay,4064
CIC,3.4927536231884058,0.0,5.7101449275362315,0.0,2.391304347826087,482.0,0.0,788.0,0.0,330.0,0.34057971014492755,NASDelay,138
CID,2.12176414189837,0.5546500479386386,2.309683604985618,0.004314477468839885,3.361457334611697,4426.0,1157.0,4818.0,9.0,7012.0,0.37679769894535,LateAircraftDelay,2086
CIU,1.0,25.08888888888889,1.2666666666666666,0.0,6.488888888888889,45.0,1129.0,57.0,0.0,292.0,0.4222222222222222,WeatherDelay,45
CKB,0.0,14.526315789473685,6.0,0.0,1.368421052631579,0.0,276.0,114.0,0.0,26.0,0.3157894736842105,WeatherDelay,19
CLD,0.9691780821917808,0.5273972602739726,1.13013698630137,0.0,4.934931506849315,283.0,154.0,330.0,0.0,1441.0,0.3904109589041096,LateAircraftDelay,292
CLE,1.4275759594199928,0.25331762053594303,1.9992314392580828,0.005123738279448686,1.7325408618127787,27862.0,4944.0,39019.0,100.0,33814.0,0.4174309576266844,NASDelay,19517
CLL,0.6289156626506024,1.4987951807228916,0.8626506024096385,0.0,3.503614457831325,261.0,622.0,358.0,0.0,1454.0,0.30843373493975906,LateAircraftDelay,415
CLT,2.0420003768962594,0.30959672100254404,1.9541835484782815,0.021506642796570243,2.19275888061811,86687.0,13143.0,82959.0,913.0,93087.0,0.47338170168661076,LateAircraftDelay,42452
CMH,1.3757860242671154,0.19723673722433796,1.9773270746612346,0.0018598884066955983,2.31945797537862,15534.0,2227.0,22326.0,21.0,26189.0,0.42697723850854663,LateAircraftDelay,11291
CMI,4.555789473684211,0.4842105263157895,3.248421052631579,0.0,1.5073684210526315,2164.0,230.0,1543.0,0.0,716.0,0.3494736842105263,CarrierDelay,475
CMX,3.8181818181818183,2.397727272727273,2.0454545454545454,0.0,9.931818181818182,336.0,211.0,180.0,0.0,874.0,0.2727272727272727,LateAircraftDelay,88
CNY,0.0,1.5454545454545454,12.0,0.0,45.72727272727273,0.0,17.0,132.0,0.0,503.0,0.45454545454545453,LateAircraftDelay,11
COD,0.9831460674157303,1.0224719101123596,2.0168539325842696,0.0449438202247191,3.2191011235955056,175.0,182.0,359.0,8.0,573.0,0.33707865168539325,LateAircraftDelay,178
COS,2.730998702983139,0.7011673151750972,1.6070038910505837,0.010635538261997406,1.7797665369649804,10528.0,2703.0,6195.0,41.0,6861.0,0.43605706874189365,CarrierDelay,3855
COU,0.8829787234042553,0.0,3.4680851063829787,0.0,3.5,83.0,0.0,326.0,0.0,329.0,0.39361702127659576,LateAircraftDelay,94
CPR,0.8360323886639676,1.3218623481781377,0.7773279352226721,0.0,2.617408906882591,413.0,653.0,384.0,0.0,1293.0,0.3724696356275304,LateAircraftDelay,494
CRP,0.7916235780765254,0.27352637021716647,1.0977249224405377,0.001034126163391934,2.934850051706308,1531.0,529.0,2123.0,2.0,5676.0,0.3862461220268873,LateAircraftDelay,1934
CRW,2.1291913214990137,0.2465483234714004,2.1429980276134124,0.0039447731755424065,2.5335305719921104,2159.0,250.0,2173.0,4.0,2569.0,0.4240631163708087,LateAircraftDelay,1014
CSG,3.192878338278932,0.5014836795252225,1.9020771513353116,0.0,2.857566765578635,1076.0,169.0,641.0,0.0,963.0,0.4629080118694362,CarrierDelay,337
CVG,1.8422495395554033,0.5082880027412515,1.7821133336188804,0.009037563712682571,1.203623591896175,43011.0,11867.0,41607.0,211.0,28101.0,0.4783912279950315,CarrierDelay,23347
CWA,1.6876971608832807,0.4227129337539432,4.435331230283912,0.0,4.899053627760252,535.0,134.0,1406.0,0.0,1553.0,0.35331230283911674,LateAircraftDelay,317
CYS,115.4,0.0,0.0,0.0,0.3,1154.0,0.0,0.0,0.0,3.0,0.1,CarrierDelay,10
DAB,1.3116531165311653,0.3974706413730804,1.7145438121047878,0.0,1.2240289069557362,1452.0,440.0,1898.0,0.0,1355.0,0.4706413730803975,NASDelay,1107
DAL,1.7555639144881199,0.22920193091342236,0.8493511378596953,0.013102626794558335,3.0443859319164943,28003.0,3656.0,13548.0,209.0,48561.0,0.44373393517647797,LateAircraftDelay,15951
DAY,1.3883101851851851,0.1566358024691358,1.7451774691358024,0.0,1.8167438271604939,7197.0,812.0,9047.0,0.0,9418.0,0.44849537037037035,LateAircraftDelay,5184
DBQ,0.8956043956043956,0.510989010989011,4.862637362637362,0.0,5.604395604395604,163.0,93.0,885.0,0.0,1020.0,0.3241758241758242,LateAircraftDelay,182
DCA,1.2831419254218064,0.3971359705090033,2.03842336594357,0.0076563164610803916,2.425209130866298,36200.0,11204.0,57508.0,216.0,68420.0,0.4048277328796257,LateAircraftDelay,28212
DEN,2.327276354507822,0.30421771874116804,1.7016009708899271,0.0066499310069658025,3.189672657146182,139988.0,18299.0,102353.0,400.0,191862.0,0.4568336353510332,LateAircraftDelay,60151
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980544747081712,CarrierDelay,257
DFW,2.2824825652868252,0.607371408219304,1.526717908064201,0.0034352416732729004,2.2219349946575675,198665.0,52865.0,132884.0,299.0,193395.0,0.47883132848493204,CarrierDelay,87039
DHN,3.7017543859649122,0.40350877192982454,4.1798245614035086,0.0,5.258771929824562,844.0,92.0,953.0,0.0,1199.0,0.40789473684210525,LateAircraftDelay,228
DIK,0.45161290322580644,0.0,8.67741935483871,0.0,4.645161290322581,14.0,0.0,269.0,0.0,144.0,0.3870967741935484,NASDelay,31
DLG,0.0,0.0,0.7,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.48,NASDelay,50
DLH,2.5977382875605817,0.5234248788368336,1.7463651050080775,0.022617124394184167,1.7382875605815833,1608.0,324.0,1081.0,14.0,1076.0,0.3570274636510501,CarrierDelay,619
DRO,3.1729166666666666,1.4645833333333333,1.5333333333333334,0.0,3.497916666666667,1523.0,703.0,736.0,0.0,1679.0,0.38125,LateAircraftDelay,480
DRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,CarrierDelay,10
DSM,2.3501245502352615,0.4088015499584833,2.1837807915859395,0.0013838915029061722,2.6368668696374202,8491.0,1477.0,7890.0,5.0,9527.0,0.3910877387212843,LateAircraftDelay,3613
DTW,2.404457612877548,0.4665015698934241,1.938110821209039,0.005527793746959713,1.4701499137664176,108744.0,21098.0,87653.0,250.0,66489.0,0.45350019900057487,CarrierDelay,45226
DUT,0.48484848484848486,0.0,0.0,0.0,0.4090909090909091,32.0,0.0,0.0,0.0,27.0,0.7424242424242424,CarrierDelay,66
DVL,44.791666666666664,0.0,1.4583333333333333,0.0,10.833333333333334,1075.0,0.0,35.0,0.0,260.0,0.3333333333333333,CarrierDelay,24
EAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CarrierDelay,9
EAU,3.485148514851485,0.0,2.4158415841584158,0.0,4.128712871287129,352.0,0.0,244.0,0.0,417.0,0.31683168316831684,LateAircraftDelay,101
ECP,1.6361940298507462,0.5578358208955224,2.2667910447761193,0.0,6.365671641791045,877.0,299.0,1215.0,0.0,3412.0,0.2966417910447761,LateAircraftDelay,536
EFD,0.0,3.5454545454545454,0.6136363636363636,0.0,0.0,0.0,156.0,27.0,0.0,0.0,0.45454545454545453,WeatherDelay,44
EGE,5.737603305785124,0.7768595041322314,2.665289256198347,0.012396694214876033,7.483471074380165,2777.0,376.0,1290.0,6.0,3622.0,0.4214876033057851,LateAircraftDelay,484
EKO,1.7113821138211383,0.3617886178861789,0.8983739837398373,0.0,2.2357723577235773,421.0,89.0,221.0,0.0,550.0,0.2886178861788618,LateAircraftDelay,246
ELM,2.035623409669211,0.24427480916030533,1.7735368956743003,0.02544529262086514,1.786259541984733,800.0,96.0,697.0,10.0,702.0,0.44529262086513993,CarrierDelay,393
ELP,1.2366888519134775,0.13616195230171935,0.7579034941763727,0.0,2.066833056017748,8919.0,982.0,5466.0,0.0,14906.0,0.41486411536328344,LateAircraftDelay,7212
ERI,0.36578947368421055,0.15,1.0394736842105263,0.0,1.855263157894737,139.0,57.0,395.0,0.0,705.0,0.44473684210526315,LateAircraftDelay,380
ESC,1.2553191489361701,2.6595744680851063,1.5319148936170213,0.0,3.0638297872340425,59.0,125.0,72.0,0.0,144.0,0.19148936170212766,LateAircraftDelay,47
EUG,2.162077104642014,0.21400472069236823,2.5633359559402047,0.0,2.8253343823760817,2748.0,272.0,3258.0,0.0,3591.0,0.3831628638867034,LateAircraftDelay,1271
EVV,2.5286624203821657,0.8131634819532909,3.1082802547770703,0.0,3.554140127388535,2382.0,766.0,2928.0,0.0,3348.0,0.386411889596603,LateAircraftDelay,942
EWN,8.479166666666666,0.2986111111111111,1.4930555555555556,0.0,8.625,1221.0,43.0,215.0,0.0,1242.0,0.3472222222222222,LateAircraftDelay,144
EWR,2.276376203406566,0.3874352011848926,2.714416193532461,0.019550728215255494,3.853961984695137,92216.0,15695.0,109961.0,792.0,156124.0,0.4682547519131079,LateAircraftDelay,40510
EYW,3.230612244897959,0.5061224489795918,1.5877551020408163,0.0,2.0040816326530613,1583.0,248.0,778.0,0.0,982.0,0.3306122448979592,CarrierDelay,490
FAI,1.4729096989966555,0.21739130434782608,0.41204013377926424,0.08428093645484949,2.357190635451505,2202.0,325.0,616.0,126.0,3524.0,0.44214046822742475,LateAircraftDelay,1495
FAR,2.586342229199372,0.3602825745682888,3.043956043956044,0.019623233908948195,2.7621664050235477,3295.0,459.0,3878.0,25.0,3519.0,0.36106750392464676,NASDelay,1274
FAT,3.392565055762082,0.1479553903345725,2.1033457249070633,0.0,2.4981412639405205,9126.0,398.0,5658.0,0.0,6720.0,0.379182156133829,CarrierDelay,2690
FAY,1.285012285012285,0.757985257985258,2.539312039312039,0.0,2.614250614250614,1046.0,617.0,2067.0,0.0,2128.0,0.4226044226044226,LateAircraftDelay,814
FCA,1.2625607779578607,0.18962722852512157,1.0518638573743921,0.0,1.6758508914100487,779.0,117.0,649.0,0.0,1034.0,0.34035656401944897,LateAircraftDelay,617
FLG,0.47988505747126436,0.04310344827586207,0.5775862068965517,0.0,0.5718390804597702,167.0,15.0,201.0,0.0,199.0,0.3275862068965517,NASDelay,348
FLL,1.9736452941797824,0.27104679412696736,2.8101299250026406,0.028784197739516213,3.0679201436569135,37369.0,5132.0,53207.0,545.0,58088.0,0.43493186859617616,LateAircraftDelay,18934
FLO,3.918918918918919,0.6081081081081081,10.391891891891891,0.0,0.3918918918918919,290.0,45.0,769.0,0.0,29.0,0.4189189189189189,NASDelay,74
FNT,2.545863309352518,0.6348920863309353,3.0755395683453237,0.0,3.629496402877698,2831.0,706.0,3420.0,0.0,4036.0,0.37949640287769787,LateAircraftDelay,1112
FOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CarrierDelay,3
FSD,1.8210712183637434,0.5897586815773985,1.3931724543849324,0.01353737492642731,2.5826957033549145,3094.0,1002.0,2367.0,23.0,4388.0,0.3761035903472631,LateAircraftDelay,1699
FSM,3.9053398058252426,0.941747572815534,2.121359223300971,0.0,4.502427184466019,1609.0,388.0,874.0,0.0,1855.0,0.33980582524271846,LateAircraftDelay,412
FWA,2.070735090152566,1.0041608876560333,2.8335644937586686,0.14424410540915394,3.3176144244105408,2986.0,1448.0,4086.0,208.0,4784.0,0.3779472954230236,LateAircraftDelay,1442
GCC,2.094674556213018,1.0828402366863905,2.331360946745562,0.0,6.384615384615385,354.0,183.0,394.0,0.0,1079.0,0.4319526627218935,LateAircraftDelay,169
GCK,5.548387096774194,1.564516129032258,1.032258064516129,0.0,2.9838709677419355,344.0,97.0,64.0,0.0,185.0,0.3064516129032258,CarrierDelay,62
GCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614035087719298,CarrierDelay,57
GEG,0.7541613316261203,0.027400768245838668,0.8473751600512164,0.017157490396927016,1.4481434058898848,2945.0,107.0,3309.0,67.0,5655.0,0.38873239436619716,LateAircraftDelay,3905
GFK,1.0851063829787233,0.8014184397163121,1.1252955082742317,0.0,1.260047281323877,459.0,339.0,476.0,0.0,533.0,0.2907801418439716,LateAircraftDelay,423
GGG,2.066666666666667,0.1794871794871795,2.051282051282051,0.0,3.317948717948718,403.0,35.0,400.0,0.0,647.0,0.3282051282051282,LateAircraftDelay,195
GJT,2.3930288461538463,0.6538461538461539,0.8557692307692307,0.0,1.8786057692307692,1991.0,544.0,712.0,0.0,1563.0,0.33653846153846156,CarrierDelay,832
GNV,2.4054054054054053,1.1408250355618776,3.5291607396870557,0.0,3.880512091038407,1691.0,802.0,2481.0,0.0,2728.0,0.41536273115220484,LateAircraftDelay,703
GPT,1.7416173570019724,0.7938856015779092,2.8944773175542404,0.005917159763313609,4.4733727810650885,1766.0,805.0,2935.0,6.0,4536.0,0.3895463510848126,LateAircraftDelay,1014
GRB,1.3580508474576272,0.16596045197740114,3.062146892655367,0.0,3.472457627118644,1923.0,235.0,4336.0,0.0,4917.0,0.3622881355932203,LateAircraftDelay,1416
GRI,2.25,4.367647058823529,3.7205882352941178,0.0,2.7058823529411766,153.0,297.0,253.0,0.0,184.0,0.3235294117647059,WeatherDelay,68
GRK,3.5431654676258995,1.4316546762589928,3.4154676258992804,0.0,4.68705035971223,1970.0,796.0,1899.0,0.0,2606.0,0.3327338129496403,LateAircraftDelay,556
GRR,1.6102171136653896,0.19923371647509577,2.390038314176245,0.0002554278416347382,2.397190293742018,6304.0,780.0,9357.0,1.0,9385.0,0.39284802043422734,LateAircraftDelay,3915
GSO,1.163227404044573,0.3968221213371853,1.4626496079240612,0.0,1.94098225340487,5637.0,1923.0,7088.0,0.0,9406.0,0.45810978126289725,LateAircraftDelay,4846
GSP,1.45460399227302,0.04475209272376046,2.339343206696716,0.0,2.63650998068255,4518.0,139.0,7266.0,0.0,8189.0,0.4150032195750161,LateAircraftDelay,3106
GST,0.17857142857142858,0.0,1.0,0.0,11.571428571428571,5.0,0.0,28.0,0.0,324.0,0.6428571428571429,LateAircraftDelay,28
GTF,1.4075382803297998,0.5347467608951708,0.375736160188457,0.0,1.2037691401648998,1195.0,454.0,319.0,0.0,1022.0,0.31566548881036516,CarrierDelay,849
GTR,2.8852459016393444,0.31693989071038253,2.7650273224043715,0.0,1.6010928961748634,528.0,58.0,506.0,0.0,293.0,0.3442622950819672,CarrierDelay,183
GUC,8.463235294117647,2.2205882352941178,1.9705882352941178,0.0,5.352941176470588,1151.0,302.0,268.0,0.0,728.0,0.4485294117647059,CarrierDelay,136
GUM,0.5759162303664922,1.1675392670157068,0.04712041884816754,0.0,0.0,110.0,223.0,9.0,0.0,0.0,0.3717277486910995,WeatherDelay,191
HDN,0.7173252279635258,0.2735562310030395,2.1185410334346506,0.0,5.468085106382978,236.0,90.0,697.0,0.0,1799.0,0.3708206686930091,LateAircraftDelay,329
HGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,CarrierDelay,3
HHH,5.230769230769231,0.0,2.2115384615384617,0.0,1.2307692307692308,272.0,0.0,115.0,0.0,64.0,0.4423076923076923,CarrierDelay,52
HIB,0.625,0.16071428571428573,1.0357142857142858,0.0,1.8571428571428572,35.0,9.0,58.0,0.0,104.0,0.17857142857142858,LateAircraftDelay,56
