airport,role,flights,pct_delayed,dominant_cause,avg_arr_delay,total_CarrierDelay,total_WeatherDelay,total_NASDelay,total_SecurityDelay,total_LateAircraftDelay,share_CarrierDelay,share_WeatherDelay,share_NASDelay,share_SecurityDelay,share_LateAircraftDelay,cluster
GTR,Origin,183,0.3442622950819672,CarrierDelay,,528.0,58.0,506.0,0.0,293.0,0.38122743682310467,0.04187725631768953,0.36534296028880864,0.0,0.21155234657039712,
GUC,Origin,136,0.4485294117647059,CarrierDelay,,1151.0,302.0,268.0,0.0,728.0,0.4699877501020825,0.12331563903634137,0.10943242139648836,0.0,0.2972641894650878,
GUM,Origin,191,0.3717277486910995,WeatherDelay,,110.0,223.0,9.0,0.0,0.0,0.3216374269005848,0.652046783625731,0.02631578947368421,0.0,0.0,
HDN,Origin,329,0.3708206686930091,LateAircraftDelay,,236.0,90.0,697.0,0.0,1799.0,0.08362863217576187,0.031892274982282066,0.2469879518072289,0.0,0.6374911410347271,
HGR,Origin,3,0.3333333333333333,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HHH,Origin,52,0.4423076923076923,CarrierDelay,,272.0,0.0,115.0,0.0,64.0,0.6031042128603105,0.0,0.2549889135254989,0.0,0.1419068736141907,
HIB,Origin,56,0.1785714285714285,LateAircraftDelay,,35.0,9.0,58.0,0.0,104.0,0.16990291262135923,0.043689320388349516,0.2815533980582524,0.0,0.5048543689320388,
HKY,Origin,12,0.1666666666666666,CarrierDelay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
HLN,Origin,469,0.326226012793177,LateAircraftDelay,,287.0,76.0,341.0,0.0,590.0,0.22179289026275115,0.05873261205564142,0.2635239567233385,0.0,0.4559505409582689,
HNL,Origin,11352,0.3664552501761804,CarrierDelay,,23825.0,403.0,5105.0,35.0,14785.0,0.5396009331189273,0.009127352614771364,0.11562068262632211,0.0007926981179081829,0.334858333522071,3.0
HOB,Origin,65,0.2615384615384615,LateAircraftDelay,,166.0,210.0,125.0,0.0,284.0,0.21146496815286625,0.267515923566879,0.1592356687898089,0.0,0.36178343949044584,
HOU,Origin,18643,0.4383414686477498,LateAircraftDelay,,33206.0,4219.0,14622.0,181.0,49441.0,0.3266088975007131,0.04149740825620395,0.14381965004081873,0.0017802870098063324,0.4862937571924579,4.0
HPN,Origin,2238,0.4110813226094727,LateAircraftDelay,,6953.0,981.0,7652.0,77.0,10505.0,0.2657062060531947,0.037488535616019565,0.29241822072760626,0.002942525221644757,0.4014445123815347,
HRL,Origin,1588,0.3746851385390428,LateAircraftDelay,,653.0,150.0,788.0,0.0,3294.0,0.13367451381780962,0.030706243602865915,0.16131013306038894,0.0,0.6743091095189355,
HSV,Origin,2564,0.406786271450858,LateAircraftDelay,,3672.0,1371.0,4755.0,4.0,6988.0,0.21870160810005956,0.08165574746873139,0.2832042882668255,0.00023823704586063132,0.41620011911852295,
HTS,Origin,175,0.5142857142857142,CarrierDelay,,308.0,7.0,253.0,0.0,43.0,0.5040916530278232,0.011456628477905073,0.41407528641571195,0.0,0.07037643207855974,
HVN,Origin,90,0.5,CarrierDelay,,296.0,179.0,246.0,0.0,214.0,0.3165775401069519,0.19144385026737967,0.2631016042780749,0.0,0.2288770053475936,
HYA,Origin,3,0.3333333333333333,NASDelay,,0.0,0.0,224.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
HYS,Origin,62,0.2580645161290322,LateAircraftDelay,,0.0,0.0,44.0,0.0,640.0,0.0,0.0,0.06432748538011696,0.0,0.935672514619883,
IAD,Origin,20400,0.4208823529411765,LateAircraftDelay,,58369.0,9848.0,48375.0,325.0,62780.0,0.3248190008736929,0.054803363439567716,0.26920315865039485,0.0018086000322765545,0.34936587700406796,0.0
IAG,Origin,25,0.36,CarrierDelay,,412.0,41.0,84.0,0.0,175.0,0.5786516853932584,0.05758426966292135,0.11797752808988764,0.0,0.24578651685393257,
IAH,Origin,48748,0.436140969885944,CarrierDelay,,111201.0,24762.0,101543.0,751.0,105926.0,0.32308684624167955,0.07194428545279691,0.2950261924615684,0.00218197877292022,0.30776069707103487,5.0
