Origin,FlightsCount,DelayedFlightRate,AvgArrDelay,cluster,pc1,pc2
SAT,12371,0.4057068951580309,4.166801553900939,6,-2.0060718985688406,-1.0401441944196859
SDF,6553,0.4304898519761941,6.140651276563217,1,1.1016326940754426,-1.3028296546924607
SEA,33464,0.4534425053789147,5.046610550280083,3,0.017456044341983792,-0.3781318624165739
SFO,45478,0.45936496767667884,7.741174137247124,4,-0.4190303980141272,2.0558825233520888
SJC,16566,0.419956537486418,3.9202854723599856,2,-3.677141126447995,3.9477528256401726
SJU,7690,0.40780234070221066,5.244160250554613,4,-1.0876266799842929,1.283409941640129
SLC,33666,0.43120655854571377,3.8884751720234725,3,-0.08635228915485978,-1.0300988354032508
SMF,13447,0.4162266676582137,4.307004470938897,6,-3.2280439041859426,1.0464879163676912
SNA,13227,0.4193694715354956,3.8227272727272728,6,-2.2748972449716494,0.18747924048346445
STL,33768,0.4586294716891732,6.537299254905453,6,-1.2851154196065289,-0.8225923711453906
TPA,21433,0.40484299911351657,5.0959794296400185,1,-0.15081260225453733,-1.502816809555327
TUL,6803,0.400558577098339,4.798703212496316,6,-0.9193961317505867,-1.4154838010253488
TUS,6510,0.40291858678955456,3.5966748768472905,6,-2.3307861247924566,-1.4037680883534942
